"PlotID"	"Stand"	"Plot"	"Stand_ID"	"Treatment"	"Plot Size (ha)"	"AreaMeters"	"AreaExpansion"	"AreaExpansionEng"	"Planted"	"Littertraps"	"Cored?"	"SIeng"	"Age2011"	"SI"	"Longitude"	"Latitude"	"Notes"
32.00	"1970"	"LD6"	"C301"	"LD"	0.04	400.00	25.00	10.11	0	"N"	"Y"	51.00		15.60			""
33.00	"Nutting Preserve"	"Nutting"	"R204"	"NoThin"	0.04	400.00	25.00	10.11	0	"Y"	"Y"	64.80	"199"	19.75			""
34.00	"BlackTrl"	"BT1"	"I89"	"LightThin"	0.04	400.00	25.00	10.11	0	"N"	"Y"	64.00		19.50			"from sewall gate"
35.00	"BlackTrl"	"BT2"	"I89"	"LightThin"	0.04	400.00	25.00	10.11	0	"N"	"Y"	64.00		19.50			"from sewall gate"
36.00	"BlackTrl"	"BT3"	"I89"	"LightThin"	0.04	400.00	25.00	10.11	0	"N"	"Y"	64.00		19.50			"from sewall gate"
37.00	"BlackTrl"	"BT4"	"I89"	"LightThin"	0.04	400.00	25.00	10.11	0	"N"	"Y"	64.00		19.50			"from sewall gate"
38.00	"BlackTrl"	"BT5"	"I89"	"LightThin"	0.04	400.00	25.00	10.11	0	"N"	"Y"	64.00		19.50			"from sewall gate"
39.00	"BlackTrl"	"BT6"	"I89"	"LightThin"	0.04	400.00	25.00	10.11	0	"N"	"Y"	64.00		19.50			"from sewall gate"
40.00	"Barn"	"Barn1"	"C48"	"Shelterwood"	0.04	400.00	25.00	10.11	0	"N"	"N"	65.00		19.80			""
41.00	"Barn"	"Barn2"	"C48"	"Shelterwood"	0.04	400.00	25.00	10.11	0	"N"	"N"	65.00		19.80			""
42.00	"Barn"	"Barn3"	"C48"	"Shelterwood"	0.04	400.00	25.00	10.11	0	"N"	"N"	65.00		19.80			""
43.00	"Barn"	"Barn4"	"C48"	"Shelterwood"	0.04	400.00	25.00	10.11	0	"N"	"N"	65.00		19.80			""
44.00	"Barn"	"Barn5"	"C48"	"Shelterwood"	0.04	400.00	25.00	10.11	0	"N"	"N"	65.00		19.80			""
45.00	"Barn"	"Barn6"	"C48"	"Shelterwood"	0.04	400.00	25.00	10.11	0	"N"	"N"	65.00		19.80			""
46.00	"Sewall"	"Sewall1"	"C62"	"Shelterwood"	0.04	400.00	25.00	10.11	0	"N"	"Y"	68.00		20.70			""
47.00	"Sewall"	"Sewall2"	"C62"	"Shelterwood"	0.04	400.00	25.00	10.11	0	"N"	"Y"	68.00		20.70			""
48.00	"Sewall"	"Sewall3"	"C62"	"Shelterwood"	0.04	400.00	25.00	10.11	0	"N"	"Y"	68.00		20.70			""
